"Data Source","World Development Indicators",

"Last Updated Date","2023-06-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bhutan","BTN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1941520","9525","439945","394616","272","58575","","","","","","","","","","",
"Botswana","BWA","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18356854","37475913","28743102","52657764","38519418","19399630","16238758","23413968","",
"Central African Republic","CAF","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","632110","1394","134458","10012","","4091308","6613251","35462286","8173212","","","","",
"Canada","CAN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30526426800","30127811741","25642281363","26566354162","27498833323","33106176422","32177506045","28785442620","28241567521","26201901348","26937505963","30479680520","31536892938","25572229417","29085816799","",
"Central Europe and the Baltics","CEB","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50142095361","60985922055","54144205968","65073298896","78182098271","72098576552","76527105929","82021232937","76742019017","79831161810","89485795206","102843367813","102071312590","104977065648","112921613832","",
"Switzerland","CHE","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36172959509","43492661191","40395074321","43607937596","51148249215","51279423966","54346224629","57101557330","53795507159","55536700708","29833875250","30114429626","29872166791","29244241618","38194199754","",
"Channel Islands","CHI","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","650978244","656550691","475672104","541747269","554586780","578351153","696148309","731379019","579468220","720583779","634211636","667732448","672133557","1368056902","1264181379","",
"China","CHN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","342573982177","390966877665","359238436559","474347228702","540167515628","593857571482","655897281624","653847619827","652212458371","594520851399","654156803837","731318634577","715302940183","757458883661","942314815525","",
"Cote d'Ivoire","CIV","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186083373","197108462","70491479","176346415","96850645","165473506","241143808","187851824","126534584","137431112","78785577","141805000","","","",
