"Data Source","World Development Indicators",

"Last Updated Date","2023-06-29",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Brunei Darussalam","BRN","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2121366.48731321","2355730.66739933","2698279.78788191","3380810.30399013","3657500.95169837","5544929.7272497","6640964.03876029","7252228.19292163","7578254.52987923","","","","","","13635732.6489677","37774081.5931151","17254031.091233","19706483.61412","18703446.2658263","12307985.3763879","13581563.7981342","",
"Bhutan","BTN","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4023.2409217245","93074.323391504","126846.971458892","369573.584566049","167599.442821085","221228.143512795","65332.2277367291","39214.8974087933","665037.980504232","486417.029789409","355875.60138638","279474.154176111","304211.000205981","221116.831229535","102284.292322318","19896.2297530949","11156.6483757216",
"Botswana","BWA","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","120750.051162702","","","","","","","","","","","","7847496.97544389","5837085.94202157","10475298.9133655","9120642.15923981","2085936.48584143","5843720.16516324","","3273561.96740591","8524141.71722813","6400836.95268046","5776676.59149818","8682825.22789848","8440543.37018575","11905852.2459425","11035756.1339346","12310548.6881321","7340960.1564242","11367325.8832772","6546861.08164933","9290536.30456044","11408304.9835673","11216663.1342854","11888549.4187593","20994876.180708","127632114.029994","86026438.148339","113707028.950699","111686618.795218","109630583.524729","28003854.8215711","86636001.2417578","106549535.488473","",
"Central African Republic","CAF","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","595526016.734138","676790445.09814","718907414.137022","798410513.992925","797907068.573354","936850027.506658","980475172.129238","1303288288.41248","1446481739.64794","1663737468.54888","1788570110.75845","1712795352.63549","1685650280.80922","1763749602.37337","1882422401.27653","1950307886.66199","2287741105.57819","2592204790.23776","3212822610.21679","3563235578.78983","3543578555.33442","4479912200.99993","5454962204.47995","6456200016.4427","6959129029.20451","7083070776.64","8162785541.73677","8923454841.05939","8922065282.94892","9731280814.35961","10411408151.0838","10901911780.597","11801326421.0447","11712157364.1799","10732654496.0011","11567469044.0284","11833542181.4764","12724585775.6879","13588255248.9897","13881367077.612","16562479595.7444","16287903657.4378",
"Central Europe and the Baltics","CEB","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35895240.6887027","39068374.0344134","34526738.1388304","84146420.6270883","230704620.474172","325634242.520398","536658461.614686","634021640.920661","703396728.020156","1154375492.43885","1138654453.26103","1144399890.82898","1445486399.91742","1818800409.38903","2535727893.52344","3227397143.7414","3691050153.49031","4750516841.49118","6522444804.20048","5642098501.17542","6416884309.21144","7225401423.94448","6701606754.96343","8151917955.7677","8465742261.35204","7822826433.69636","7682191154.14008","8536982362.69234","9459612919.43893","9668027384.39748","8860471010.37012","10468322193.0741","10252632040.7335",
"Switzerland","CHE","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1737843933.43281","1854315394.86692","2699676685.42332","2993367269.28692","5203502754.8611","7439742364.05003","7014602811.36244","9243987986.116","9827709892.80524","13811220519.439","15842319321.1099","21025131327.9004","20900338400.4579","21749231750.3646","25190091712.2538","23785075242.4047","22156831581.944","24256654478.5259","27065717637.3412","26879306042.1353","32266925212.0045","33555217496.2427","29992998965.6093",
"Channel Islands","CHI","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","6000000","8000000","14000000","16000000","21000000","29000000","39000000","33000000","32000000","26000000","23000000","25800000","29700000","36200000","39900000","37100000","33900000","39200000","43600000","46800000","50000000","116800000","140000000","222800000","324200000","297470000","268598923.97862","250600000","257124131.150784","307300000","347500000","383708785.134996","447500000","538619514.456729","596536869.459658","726289314.412919","773559649.575888","1072980131.54689","1418818378.06583","1614627538.53355","1635419969.01614","1730596606.64541","1709057253.35148","2034376887.58784","1878506474.97685","1511563045.50109","1689634051.83244","1324660663.55388",
"China","CHN","Charges for the use of intellectual property, payments (BoP, current US$)","BM.GSR.ROYL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","543000000","420000000","792000000","1280970000","1938000000","3114004040.6535","3548126751.5953","4496604795.5981","5321253863.3468","6634081020.03558","8192067402.3259","10319466356.1387","11065271082","13039546459","14706108691","17748983437","21033078371","22613800781.52","22022366054.63","23979580207.69","28746479819.35","35782953953.25","34370466477.86","37870654560.1","46894697500.69","44474106058.33",
