"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bangladesh","BGD","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","104999126668.474","112333159708.936","121146403556.121","129861168624.058","137793895025.735","147888078768.543","157407191153.966","167310862814.188","177953220911.374","188888806689.217","203393133330.434","218534997536.143","230448205145.17","246134138763.759","265983851337.671","292254344192.251","321372682222.956","353355326636.583","381790053069.973","403622398431.373","431232354475.677","468647816771.097","531392989427.111","575260311143.038","623422026299.146","665524876432.343","728388162627.082","781590411613.399","858963440054.639","943289883709.917","988548285247.267","1104635604101.05","1265939652568.16",
"Bulgaria","BGR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65837101056.1319","62315345865.545","59100367030.1933","59605697992.4664","61985310815.5618","65091902596.459","57276942585.7876","47798644412.8771","51009935495.3334","47685594922.3421","52475648463.5482","55744295511.5022","61023649905.0158","65447924437.5294","71007194094.7835","78821727222.4838","86700950621.7706","96737344776.7179","107494989963.26","105576715877.279","110611221157.484","115714705915.204","119289505268.189","120942441126.75","127263783970.346","132016869784.615","143085786192.226","151920376104.312","161688720891.903","175581411103.939","175403335315.364","193354795237.599","217112714561.008",
"Bahrain","BHR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13313767889.9519","15309705679.4482","16706160236.2094","19303201194.1008","19666117520.7429","20867579696.4914","22123020634.4793","23200581590.5379","24585528466.9632","26004071347.1369","28002664526.8386","29346798120.2163","30802185154.6651","33387815395.3606","36677438753.2954","40388126701.9833","44326828395.8536","49300579352.8429","53384007743.8557","55090758632.4026","58169329411.6696","60555691596.7436","65875368137.9427","67716644746.8625","68275971746.1039","62523275420.368","63831285346.3079","71282082008.2729","74536780443.0771","77518079488.1841","74882206091.369","80335461876.3394","90141730809.5847",
"Bahamas, The","BHS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5414326155.45474","5363353457.59315","5275724133.89238","5417400642.32365","5707317281.10711","6082143682.91379","6455090380.4903","7017892807.31428","6777266597.91935","7711081931.34645","8212979643.93343","8618475437.20931","8989531443.79617","9051030297.24754","9376038727.67233","9998378317.40009","10566295852.2215","11008850237.0477","10959295266.1129","10568967269.2523","10860529753.768","11154181356.2759","11526745638.5135","11509995089.2256","12162371615.1816","12466874447.928","12715662048.7761","13593751984.1175","14133988863.4026","14280502647.6757","11065957893.5596","13527087044.1588","16554560158.8025",
"Bosnia and Herzegovina","BIH","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3548815792.48105","4376862882.45483","8421846650.11983","11513256422.2647","13459124890.5627","14959079596.1282","17250844236.8597","17998883307.2345","19535754437.5711","20549191755.7976","22394680483.7981","24398017490.0471","27912917878.4232","30845221804.3709","33896710104.2751","33732342322.9908","34639497691.4772","36525661608.9497","37145719042.2734","39027196298.3296","39811651044.0962","41678888278.6763","44799483637.2349","46723082267.5412","50326203572.6602","54170180832.1181","52630281867.0495","57914685391.0157","65889210709.2956",
"Belarus","BLR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53250955635.6685","54391157109.1211","50290136477.0867","47569536599.1385","42900860180.7043","39245201757.5412","41082756176.5869","46555399157.8063","51034060777.163","53512859527.8151","57899283447.3177","62001283966.7335","66144476953.7165","72200530511.3245","82627376602.6378","93228959084.0121","105716172540.63","117910480784.173","132429460433.457","133544823623.481","145689092567.201","156715098657.899","171037674358.344","179366145726.605","179597347838.491","171204825316.404","168421837005.779","173629826921.652","183404174385.559","189394303488.369","190574660187.017","203993463197.108","208029997217.11",
"Belize","BLZ","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","827388115.019636","953332721.994098","1092431752.30531","1188074944.3676","1215839942.5669","1249280420.44542","1285224422.41065","1354237915.37448","1423260744.4084","1572521688.75019","1817300103.00533","1951935933.34257","2083716266.76923","2323121421.33267","2495949270.25183","2630810430.30217","2836340011.29423","3008384500.58274","3019481404.01358","3025088187.71652","3099905845.14688","3160971609.68865","3071778720.61696","3210501589.91176","3257944413.37144","3352988942.54283","3365183980.94179","3324933516.96187","3442437811.61406","3661953136.6631","3212523684.21181","3867806247.2036","4640735993.70948",
"Bermuda","BMU","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2068741981.23927","2063112005.07248","2108867924.43701","2223805865.27062","2284912522.66975","2435449296.31369","2544534462.58418","2707480241.19794","2844734029.45805","2982406330.88787","3334145031.76884","3655493461.72759","3657603009.02598","3857001614.38818","4052473975.96067","4249526752.52499","4623506775.37574","4907300837.68478","4908095298.74214","4661620197.82517","4599566292.56937","4519405326.5993","4370872662.28833","4484628779.9265","4479895049.92416","4688793778.80788","4929475866.99318","5227044136.51153","5329538761.90086","5441762403.85505","5135811696.90466","5528291103.9543","6088718343.67496",
"Bolivia","BOL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16283841547.8631","17721116844.6287","18423392428.3864","19665282457.4197","21022650005.1143","22467594792.2645","23876799317.3531","25491843210.6225","27075267754.7027","27574030464.4297","28905904150.2006","30054823271.6582","31281912250.3691","32764190064.686","35047766275.6842","37745009268.3395","40776162791.1297","43789629088.7436","47373527751.8864","49277693034.8021","51927900991.6518","55765337777.5774","61452959663.3131","69841188342.1911","75554052859.3584","77543289209.0962","82736157903.0732","94285208501.691","100629868205.778","104705782701.155","96803643569.0714","107329023907.564","118373605476.751",
"Brazil","BRA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","997366926074.862","1041738357708.64","1059681669190.55","1138222746883.53","1230569918658.67","1309440382639.62","1362869157897.32","1433436057292.62","1454470819899.7","1481869627084.83","1581938922711.13","1640061928804.67","1716481965947.43","1770327038984.75","1922557348334.82","2046338691498.66","2193057535043.85","2389038740946.66","2558895374170.58","2572056702791.35","2798924733572.41","2970630762099.6","2998534424980.65","3133893649534.8","3187155079572.03","3014754849735.88","2939094210373.69","3018705988834.89","3146415537923.59","3241959851105.39","3176647148134.66","3484965550401.37","3837260590100.21",
