Country Name,Country Code,Year,ATM Usage,GDP,High Tech Export ($M),High Tech Import,Internet Subscription Per 100,Internet Usage Per 100,IP Income($M),Labour Force (M),Med_High Tech Manufacturing,Mobile Sub Per 100,Personal Remittance ($M),Poverty Count,Stock Traded $B,Tech Cooperation Grant($M),Unemployment Rate,Med High Tech Export
Namibia,NAM,2011,49.62,3.46,48.11,36.66,0.83,12.0,6.7,0.75,7.45,102.91,69.21,1.42,0.18,44.51,22.12,17.21
Netherlands,NLD,2011,57.79,1.08,85917.61,66.03,38.91,91.42,34418.55,8.89,47.05,118.73,1720.05,0.1,65.78,0.0,4.99,52.51
Nigeria,NGA,2011,11.23,2.44,40.53,27.25,0.03,13.8,208.44,54.15,33.44,57.52,19744.76,11.99,1.39,220.82,3.76,8.87
Norway,NOR,2011,55.25,-0.2,5379.96,36.36,36.05,93.49,317.62,2.61,32.45,115.58,679.97,0.1,49.19,0.0,3.52,45.3
Pakistan,PAK,2011,4.28,0.6,324.88,37.87,0.59,8.0,90.0,60.26,23.99,54.83,9690.0,9.6,6.58,237.38,0.65,10.94
Panama,PAN,2011,39.74,9.35,4877.49,11.98,7.67,42.7,62.5,1.62,6.52,182.6,410.0,2.5,0.23,18.11,5.88,15.0
Peru,PER,2011,27.14,5.43,322.87,27.45,4.11,36.01,152.42,16.26,12.12,110.12,2533.91,6.5,2.71,165.51,3.6,5.15
Philippines,PHL,2011,15.11,2.02,12557.11,24.88,1.86,29.0,412.17,38.08,41.52,97.77,21556.63,1.85,10.68,208.04,3.61,65.27
Poland,POL,2011,50.89,4.99,9697.32,41.86,18.05,61.95,1542.0,18.06,35.84,129.88,7712.0,0.3,14.6,0.0,9.64,56.16
Portugal,PRT,2011,194.63,-1.55,1830.26,37.86,21.23,55.25,562.3,5.49,24.65,116.75,516.9,0.5,22.53,0.0,10.77,39.78
Romania,ROU,2011,59.24,5.03,5673.72,44.73,16.24,40.01,367.26,9.35,36.02,115.82,641.39,5.4,0.99,0.0,6.96,54.36
Russian Federation,RUS,2011,95.59,4.22,5731.65,48.07,12.27,58.0,3987.05,75.88,24.71,141.79,5250.02,0.01,33.24,0.0,7.37,22.18
Serbia,SRB,2011,47.4,2.85,326.32,38.07,13.44,42.2,143.65,3.1,19.63,141.04,4117.45,3.93,0.75,130.15,19.22,33.78
Slovak Republic,SVK,2011,51.24,2.54,5012.37,36.59,17.64,74.44,189.98,2.69,44.52,110.74,1590.89,0.4,0.34,0.0,14.38,64.66
South Africa,ZAF,2011,55.32,1.87,2743.38,25.6,1.73,33.97,1658.02,19.99,24.43,122.04,1069.57,3.5,66.42,173.47,23.18,43.74
Spain,ESP,2011,149.44,-1.17,13554.46,19.34,23.9,67.09,2746.13,23.48,34.88,112.54,1595.95,1.1,96.64,0.0,19.86,55.64
Thailand,THA,2011,81.89,0.19,36110.0,34.33,5.67,23.67,2247.54,39.45,40.24,112.71,4433.16,0.1,65.21,116.22,0.62,58.53
Tunisia,TUN,2011,20.36,-3.27,1085.02,20.42,5.07,39.1,13.77,3.89,24.25,112.28,2063.29,0.15,3.97,162.17,13.05,45.8
Turkiye,TUR,2011,52.3,9.73,2202.09,21.11,10.23,43.07,648.0,25.81,29.95,88.07,1819.0,0.1,51.9,154.21,10.66,41.19
Ukraine,UKR,2011,76.57,5.83,1932.26,24.25,6.96,28.71,644.0,22.14,32.79,121.94,6535.0,0.03,2.01,252.4,8.1,42.16
United Kingdom,GBR,2011,121.92,0.28,75783.35,41.62,32.53,85.38,10473.07,32.24,45.0,121.93,4951.4,0.2,128.97,0.0,7.79,62.0
United States,USA,2011,15.81,0.81,166463.7,36.97,28.14,69.73,29421.0,157.36,46.0,94.75,5930.0,1.0,239.39,0.0,9.63,62.2
West Bank and Gaza,PSE,2011,15.33,6.87,0.7,23.18,3.76,41.08,0.2,0.87,11.22,69.52,927.14,0.2,3.86,165.83,21.42,9.2
Zambia,ZMB,2011,6.82,2.06,15.29,29.67,0.12,3.5,0.44,4.37,15.03,57.23,43.66,11.81,0.1,74.79,13.19,18.91
Argentina,ARG,2012,27.05,-2.15,1654.53,38.96,12.27,55.8,1712.21,18.66,26.27,153.33,697.38,0.6,0.46,52.02,7.18,46.72
Australia,AUS,2012,170.51,2.1,5466.44,29.31,25.23,79.0,3423.56,11.84,27.95,107.08,2449.29,0.16,80.69,0.0,5.08,19.64
Austria,AUT,2012,113.8,0.22,18475.49,37.75,25.27,80.03,1610.87,4.33,44.64,161.19,3250.8,0.6,8.99,0.0,4.56,61.06
Bangladesh,BGD,2012,3.71,5.2,105.41,12.96,0.39,5.0,17.64,57.6,9.17,63.9,12071.07,2.88,1.73,216.06,3.75,2.13
Belgium,BEL,2012,93.32,0.12,18575.75,45.38,33.47,80.72,1905.03,4.88,47.38,111.62,11728.55,0.2,19.73,0.0,7.14,49.63
Brazil,BRA,2012,116.31,1.01,9470.91,49.02,9.56,48.56,3346.85,94.95,35.34,124.18,3214.6,4.5,31.53,213.28,7.58,38.04
Bulgaria,BGR,2012,93.86,1.34,1020.74,34.72,17.78,51.9,114.24,3.32,29.27,143.97,1483.19,2.3,0.56,0.0,11.26,34.67
Canada,CAN,2012,207.65,0.66,33106.18,40.16,33.7,83.0,9731.28,19.15,37.24,79.9,1227.34,0.2,82.19,0.0,7.51,56.99
Chile,CHL,2012,64.64,5.13,578.35,30.12,12.49,55.05,726.29,8.13,11.44,138.05,70.92,0.25,20.41,55.56,7.32,12.23
China,CHN,2012,30.45,7.13,593857.57,35.67,12.82,42.3,13039.55,778.32,41.45,81.38,16568.37,8.5,88.38,834.35,4.55,58.44
Colombia,COL,2012,32.51,2.84,565.87,36.76,8.6,48.98,615.03,22.79,21.35,107.17,4101.32,6.7,7.75,106.8,10.11,34.16
Costa Rica,CRI,2012,51.78,3.63,2732.04,24.32,9.47,47.5,158.86,2.15,21.87,113.54,520.22,1.7,0.09,26.83,9.52,59.58
Cote d'Ivoire,CIV,2012,1.96,5.43,96.85,27.22,0.21,4.4,17.45,7.84,14.99,82.23,397.12,4.07,0.32,26.08,7.22,15.58
Croatia,HRV,2012,109.79,-2.03,913.35,48.21,21.22,61.94,224.74,1.88,26.03,114.77,2524.04,0.8,1.48,0.02,13.68,45.33
Cyprus,CYP,2012,69.93,-4.91,55.51,21.68,25.47,60.69,39.13,0.61,15.51,128.3,740.51,0.04,1.63,0.0,7.86,50.92
Egypt, Arab Rep.,2012,8.64,-0.46,133.43,32.49,2.07,25.6,284.5,28.74,21.06,93.53,12453.1,0.62,16.99,180.97,8.76,28.05
France,FRA,2012,109.21,-0.17,114060.87,52.21,38.02,81.44,10014.88,30.03,46.14,98.71,22942.28,0.1,46.42,0.0,8.81,65.06
Germany,DEU,2012,121.13,0.23,202764.81,39.26,34.28,82.35,7115.33,41.73,59.18,113.31,15337.12,0.02,41.97,0.0,5.82,72.44
Ghana,GHA,2012,4.0,6.64,74.46,43.38,0.25,10.6,4.08,11.29,4.35,95.38,2134.64,25.7,0.65,114.68,4.22,19.98
Greece,GRC,2012,74.79,-6.58,1137.98,26.3,24.53,55.07,626.95,4.98,18.76,121.86,1186.96,1.5,8.12,0.0,17.86,22.58
Hungary,HUN,2012,57.7,-0.74,17575.52,62.33,24.15,70.58,1799.36,4.31,55.65,116.7,2305.03,0.3,11.03,0.0,11.03,73.46
India,IND,2012,8.82,4.06,13873.82,52.02,1.18,11.1,2438.3,472.42,39.58,67.85,62499.08,8.53,40.63,329.02,8.17,28.05
Indonesia,IDN,2012,16.45,4.71,7229.37,41.42,1.19,14.52,1616.46,119.58,37.41,112.69,6923.97,13.7,11.81,559.98,5.15,30.7
Ireland,IRL,2012,88.31,-0.43,26187.42,76.03,24.36,76.92,37458.29,2.23,61.06,109.84,756.0,0.3,3.42,0.0,15.35,52.26
Israel,ISR,2012,122.48,0.71,11564.74,46.55,25.51,70.8,831.5,3.53,42.7,121.51,594.6,0.7,28.72,0.0,7.14,54.3
Italy,ITA,2012,101.61,-3.24,29546.75,44.14,22.87,55.83,6545.12,24.57,41.64,161.47,8731.25,1.2,36.89,0.0,8.36,53.27
Japan,JPN,2012,128.58,1.54,129203.44,52.52,28.26,79.5,18768.65,65.81,55.01,110.38,2131.73,0.06,69.15,0.0,4.55,79.53
Kazakhstan,KAZ,2012,64.8,3.33,3570.82,64.18,9.57,61.91,85.54,8.8,14.01,176.79,179.71,0.04,0.28,48.19,5.39,40.19
Kenya,KEN,2012,8.99,1.96,62.28,34.94,0.12,10.5,17.8,17.93,13.05,70.28,934.15,2.67,1.96,204.79,2.86,21.62
Korea, Rep.,2012,265.38,2.89,133455.01,39.68,36.32,83.76,7355.6,25.42,58.39,106.79,5853.7,0.1,142.45,0.0,3.32,71.85
Luxembourg,LUX,2012,106.04,-0.76,925.03,24.39,31.98,91.95,188.01,0.25,22.41,143.49,1810.62,0.13,0.2,0.0,4.9,38.38
Malaysia,MYS,2012,56.12,3.78,66465.54,38.79,9.85,65.8,1318.01,13.1,41.17,139.33,1211.5,0.01,43.74,47.31,3.05,58.53
Malta,MLT,2012,55.26,3.19,1272.19,62.69,31.58,68.2,1592.82,0.18,5.37,123.8,227.12,0.1,0.51,0.0,6.38,40.25
Mauritius,MUS,2012,43.43,3.21,10.64,40.57,10.93,35.42,12.07,0.57,4.26,115.29,0.52,0.4,4.43,11.42,7.45,4.05
Mexico,MEX,2012,44.86,2.2,57554.23,28.26,11.3,39.75,3015.24,48.77,40.15,87.02,23445.66,3.8,8.45,108.83,5.17,78.59
Montenegro,MNE,2012,66.2,-2.81,9.89,53.58,13.86,56.84,8.87,0.24,18.85,156.52,509.61,3.0,1.69,15.18,19.76,26.23
Morocco,MAR,2012,21.35,1.59,414.85,46.36,2.07,55.42,30.43,11.53,6.74,117.37,7256.31,0.13,3.72,171.66,8.91,42.48
Namibia,NAM,2012,51.27,3.36,108.42,65.63,1.11,12.94,5.98,0.77,7.88,99.05,78.76,1.42,0.1,46.88,19.46,10.73
Netherlands,NLD,2012,56.52,-1.4,81430.3,66.15,39.64,92.86,32819.97,8.9,47.44,117.47,1788.73,0.1,57.16,0.0,4.98,51.23
Nigeria,NGA,2012,11.94,1.4,77.58,38.14,0.01,16.1,223.39,55.65,33.44,66.31,20616.77,33.8,0.93,268.04,3.77,10.89
Norway,NOR,2012,54.47,1.38,5157.05,40.65,37.01,94.65,633.88,2.63,32.14,115.51,764.99,0.1,36.86,0.0,3.21,44.88
Pakistan,PAK,2012,4.72,1.66,316.86,36.91,0.75,8.1,124.0,61.55,22.77,59.42,12263.0,3.31,4.51,210.44,0.8,9.54
Panama,PAN,2012,44.97,7.84,1969.94,15.34,7.85,40.3,46.3,1.61,6.67,165.48,368.2,3.5,0.93,18.51,4.05,15.0
Peru,PER,2012,31.74,5.17,202.76,30.6,4.85,38.2,196.76,16.34,13.46,98.78,2696.96,6.1,3.01,155.66,3.48,5.74
Philippines,PHL,2012,16.8,5.05,12557.11,21.01,2.19,30.8,446.48,39.49,53.04,104.03,23053.63,10.9,11.68,193.09,3.59,73.14
Poland,POL,2012,53.86,1.55,10726.76,44.31,17.83,62.31,2248.0,18.15,34.31,140.03,7768.0,0.2,13.93,0.0,9.63,54.96
Portugal,PRT,2012,191.19,-3.67,1919.33,40.94,22.72,60.34,595.85,5.43,24.72,113.26,539.54,0.7,14.54,0.0,12.68,39.6
Romania,ROU,2012,64.9,2.38,3649.89,52.58,17.59,45.88,445.02,9.17,36.79,113.42,694.12,6.2,1.52,0.0,7.18,53.97
Russian Federation,RUS,2012,117.0,3.85,7709.72,47.34,14.53,66.0,4841.8,76.08,26.54,144.5,6103.27,0.01,27.09,0.0,6.54,23.66
Serbia,SRB,2012,47.17,-0.2,461.95,40.77,14.81,48.1,156.11,3.09,20.06,127.2,3960.97,5.3,0.78,118.18,22.97,41.36
